ISP (UTC),Imbalance+ [EUR/MWh],Imbalance- [EUR/MWh],Total Imbalance [MWh]
19.08.2019 21:00 - 19.08.2019 21:30,30.67,33.89,115
19.08.2019 21:30 - 19.08.2019 22:00,28.55,31.55,444
19.08.2019 22:00 - 19.08.2019 22:30,47.87,52.91,312
19.08.2019 22:30 - 19.08.2019 23:00,18.81,20.79,524
19.08.2019 23:00 - 19.08.2019 23:30,16.71,18.47,308
19.08.2019 23:30 - 20.08.2019 00:00,16.57,18.31,86
20.08.2019 00:00 - 20.08.2019 00:30,33.2,36.7,147
20.08.2019 00:30 - 20.08.2019 01:00,40.92,45.22,248
20.08.2019 01:00 - 20.08.2019 01:30,28.94,31.98,583
20.08.2019 01:30 - 20.08.2019 02:00,32.21,35.61,380
20.08.2019 02:00 - 20.08.2019 02:30,25.69,28.39,436
20.08.2019 02:30 - 20.08.2019 03:00,23.65,26.13,402
20.08.2019 03:00 - 20.08.2019 03:30,23.29,25.75,13
20.08.2019 03:30 - 20.08.2019 04:00,24.22,26.76,291
20.08.2019 04:00 - 20.08.2019 04:30,24.61,27.21,306
20.08.2019 04:30 - 20.08.2019 05:00,24.52,27.1,264
20.08.2019 05:00 - 20.08.2019 05:30,28.3,31.28,323
20.08.2019 05:30 - 20.08.2019 06:00,35.02,38.7,39
20.08.2019 06:00 - 20.08.2019 06:30,35.77,39.53,452
20.08.2019 06:30 - 20.08.2019 07:00,45,49.74,122
20.08.2019 07:00 - 20.08.2019 07:30,43.61,48.2,152
20.08.2019 07:30 - 20.08.2019 08:00,43.97,48.59,215
20.08.2019 08:00 - 20.08.2019 08:30,37.53,41.49,12
20.08.2019 08:30 - 20.08.2019 09:00,37.53,41.49,68
20.08.2019 09:00 - 20.08.2019 09:30,36.96,40.86,456
20.08.2019 09:30 - 20.08.2019 10:00,36.96,40.86,283
20.08.2019 10:00 - 20.08.2019 10:30,36.03,39.83,156
20.08.2019 10:30 - 20.08.2019 11:00,36.03,39.83,104
20.08.2019 11:00 - 20.08.2019 11:30,35.48,39.22,248
20.08.2019 11:30 - 20.08.2019 12:00,35.48,39.22,343
20.08.2019 12:00 - 20.08.2019 12:30,38.35,42.39,730
20.08.2019 12:30 - 20.08.2019 13:00,42.02,46.44,345
20.08.2019 13:00 - 20.08.2019 13:30,42.37,46.83,129
20.08.2019 13:30 - 20.08.2019 14:00,36.08,39.88,81
20.08.2019 14:00 - 20.08.2019 14:30,35.33,39.05,292
20.08.2019 14:30 - 20.08.2019 15:00,35.2,38.9,84
20.08.2019 15:00 - 20.08.2019 15:30,26.91,29.75,212
20.08.2019 15:30 - 20.08.2019 16:00,23.32,25.78,343
20.08.2019 16:00 - 20.08.2019 16:30,28.04,31,502
20.08.2019 16:30 - 20.08.2019 17:00,23.47,25.94,343
20.08.2019 17:00 - 20.08.2019 17:30,21.13,23.35,77
20.08.2019 17:30 - 20.08.2019 18:00,38.46,42.5,56
20.08.2019 18:00 - 20.08.2019 18:30,28.14,31.1,17
20.08.2019 18:30 - 20.08.2019 19:00,33.95,37.53,350
20.08.2019 19:00 - 20.08.2019 19:30,31.51,34.83,100
20.08.2019 19:30 - 20.08.2019 20:00,29.62,32.74,199
20.08.2019 20:00 - 20.08.2019 20:30,33.55,37.09,529
20.08.2019 20:30 - 20.08.2019 21:00,30.44,33.64,373
20.08.2019 21:00 - 20.08.2019 21:30,25.92,28.64,269
20.08.2019 21:30 - 20.08.2019 22:00,27.75,30.67,369
20.08.2019 22:00 - 20.08.2019 22:30,60.66,67.04,93
20.08.2019 22:30 - 20.08.2019 23:00,21.03,23.25,407
20.08.2019 23:00 - 20.08.2019 23:30,16.93,18.71,152
20.08.2019 23:30 - 21.08.2019 00:00,16.23,17.93,241
21.08.2019 00:00 - 21.08.2019 00:30,34.23,37.83,234
21.08.2019 00:30 - 21.08.2019 01:00,21.5,23.76,222
21.08.2019 01:00 - 21.08.2019 01:30,16.87,18.65,86
21.08.2019 01:30 - 21.08.2019 02:00,16.38,18.1,411
21.08.2019 02:00 - 21.08.2019 02:30,16.31,18.03,393
21.08.2019 02:30 - 21.08.2019 03:00,16.01,17.69,169
21.08.2019 03:00 - 21.08.2019 03:30,16.42,18.14,267
21.08.2019 03:30 - 21.08.2019 04:00,20.86,23.06,29
21.08.2019 04:00 - 21.08.2019 04:30,24.99,27.62,241
21.08.2019 04:30 - 21.08.2019 05:00,25.03,27.67,43
21.08.2019 05:00 - 21.08.2019 05:30,28.47,31.47,262
21.08.2019 05:30 - 21.08.2019 06:00,29.39,32.49,66
21.08.2019 06:00 - 21.08.2019 06:30,38.3,42.34,310
21.08.2019 06:30 - 21.08.2019 07:00,51.45,56.87,44
21.08.2019 07:00 - 21.08.2019 07:30,39.85,44.05,45
21.08.2019 07:30 - 21.08.2019 08:00,39.85,44.05,127
21.08.2019 08:00 - 21.08.2019 08:30,36.1,39.9,13
21.08.2019 08:30 - 21.08.2019 09:00,35.61,39.35,583
21.08.2019 09:00 - 21.08.2019 09:30,27.19,30.05,181
21.08.2019 09:30 - 21.08.2019 10:00,30.01,33.17,429
21.08.2019 10:00 - 21.08.2019 10:30,28.44,31.44,356
21.08.2019 10:30 - 21.08.2019 11:00,24.82,27.44,230
21.08.2019 11:00 - 21.08.2019 11:30,33.34,36.84,108
21.08.2019 11:30 - 21.08.2019 12:00,23.86,26.38,258
21.08.2019 12:00 - 21.08.2019 12:30,31.43,34.73,304
21.08.2019 12:30 - 21.08.2019 13:00,31.43,34.73,174
21.08.2019 13:00 - 21.08.2019 13:30,31.3,34.6,336
21.08.2019 13:30 - 21.08.2019 14:00,31.3,34.6,365
21.08.2019 14:00 - 21.08.2019 14:30,27.73,30.65,288
21.08.2019 14:30 - 21.08.2019 15:00,27.73,30.65,389
21.08.2019 15:00 - 21.08.2019 15:30,32.06,35.44,207
21.08.2019 15:30 - 21.08.2019 16:00,32.06,35.44,25
21.08.2019 16:00 - 21.08.2019 16:30,35.09,38.79,223
21.08.2019 16:30 - 21.08.2019 17:00,35.09,38.79,122
21.08.2019 17:00 - 21.08.2019 17:30,36.54,40.38,356
21.08.2019 17:30 - 21.08.2019 18:00,36.54,40.38,393
21.08.2019 18:00 - 21.08.2019 18:30,34.93,38.61,287
21.08.2019 18:30 - 21.08.2019 19:00,34.93,38.61,77
21.08.2019 19:00 - 21.08.2019 19:30,42.93,47.45,606
21.08.2019 19:30 - 21.08.2019 20:00,49.27,54.45,276
21.08.2019 20:00 - 21.08.2019 20:30,42.35,46.81,190
21.08.2019 20:30 - 21.08.2019 21:00,56.52,62.46,134
21.08.2019 21:00 - 21.08.2019 21:30,43.82,48.44,309
21.08.2019 21:30 - 21.08.2019 22:00,36.04,39.84,125
21.08.2019 22:00 - 21.08.2019 22:30,38.67,42.75,569
21.08.2019 22:30 - 21.08.2019 23:00,31.6,34.92,221
21.08.2019 23:00 - 21.08.2019 23:30,29.48,32.58,676
21.08.2019 23:30 - 22.08.2019 00:00,31.13,34.41,685
22.08.2019 00:00 - 22.08.2019 00:30,31.31,34.61,825
22.08.2019 00:30 - 22.08.2019 01:00,32.87,36.33,572
22.08.2019 01:00 - 22.08.2019 01:30,37.42,41.36,714
22.08.2019 01:30 - 22.08.2019 02:00,38.55,42.61,329
22.08.2019 02:00 - 22.08.2019 02:30,36.75,40.61,147
22.08.2019 02:30 - 22.08.2019 03:00,24.62,27.22,37
22.08.2019 03:00 - 22.08.2019 03:30,25.88,28.6,351
22.08.2019 03:30 - 22.08.2019 04:00,29.09,32.15,447
22.08.2019 04:00 - 22.08.2019 04:30,29.39,32.49,602
22.08.2019 04:30 - 22.08.2019 05:00,30.79,34.03,431
22.08.2019 05:00 - 22.08.2019 05:30,32.69,36.13,352
22.08.2019 05:30 - 22.08.2019 06:00,34.87,38.55,64
22.08.2019 06:00 - 22.08.2019 06:30,36.92,40.8,242
22.08.2019 06:30 - 22.08.2019 07:00,38.73,42.81,383
22.08.2019 07:00 - 22.08.2019 07:30,38.91,43.01,278
22.08.2019 07:30 - 22.08.2019 08:00,36.01,39.8,402
22.08.2019 08:00 - 22.08.2019 08:30,33.16,36.66,198
22.08.2019 08:30 - 22.08.2019 09:00,33.16,36.66,381
22.08.2019 09:00 - 22.08.2019 09:30,29.36,32.46,632
22.08.2019 09:30 - 22.08.2019 10:00,28.37,31.35,541
22.08.2019 10:00 - 22.08.2019 10:30,22.09,24.41,537
22.08.2019 10:30 - 22.08.2019 11:00,21.55,23.81,373
22.08.2019 11:00 - 22.08.2019 11:30,21.91,24.21,24
22.08.2019 11:30 - 22.08.2019 12:00,22.38,24.74,478
22.08.2019 12:00 - 22.08.2019 12:30,21.55,23.81,39
22.08.2019 12:30 - 22.08.2019 13:00,29.65,32.77,31
22.08.2019 13:00 - 22.08.2019 13:30,29.4,32.5,138
22.08.2019 13:30 - 22.08.2019 14:00,21.12,23.34,75
22.08.2019 14:00 - 22.08.2019 14:30,23.09,25.52,6
22.08.2019 14:30 - 22.08.2019 15:00,23.66,26.15,67
22.08.2019 15:00 - 22.08.2019 15:30,18.7,20.66,508
22.08.2019 15:30 - 22.08.2019 16:00,16.44,18.17,139
22.08.2019 16:00 - 22.08.2019 16:30,24.8,27.41,186
22.08.2019 16:30 - 22.08.2019 17:00,40.35,44.59,267
22.08.2019 17:00 - 22.08.2019 17:30,39.98,44.18,337
22.08.2019 17:30 - 22.08.2019 18:00,39.98,44.18,286
22.08.2019 18:00 - 22.08.2019 18:30,43.41,47.97,140
22.08.2019 18:30 - 22.08.2019 19:00,35.23,38.93,188
22.08.2019 19:00 - 22.08.2019 19:30,36.15,39.95,36
22.08.2019 19:30 - 22.08.2019 20:00,36.15,39.95,325
22.08.2019 20:00 - 22.08.2019 20:30,36.56,40.4,346
22.08.2019 20:30 - 22.08.2019 21:00,35.84,39.62,274
22.08.2019 21:00 - 22.08.2019 21:30,23.36,25.82,66
22.08.2019 21:30 - 22.08.2019 22:00,23.99,26.51,425
22.08.2019 22:00 - 22.08.2019 22:30,32.68,36.12,532
22.08.2019 22:30 - 22.08.2019 23:00,28.77,31.79,313
22.08.2019 23:00 - 22.08.2019 23:30,26.71,29.53,96
22.08.2019 23:30 - 23.08.2019 00:00,28.46,31.46,102
23.08.2019 00:00 - 23.08.2019 00:30,32.79,36.25,123
23.08.2019 00:30 - 23.08.2019 01:00,27.87,30.81,303
23.08.2019 01:00 - 23.08.2019 01:30,26.65,29.45,472
23.08.2019 01:30 - 23.08.2019 02:00,29.31,32.39,208
23.08.2019 02:00 - 23.08.2019 02:30,29.4,32.5,221
23.08.2019 02:30 - 23.08.2019 03:00,29.48,32.58,243
23.08.2019 03:00 - 23.08.2019 03:30,24.8,27.42,84
23.08.2019 03:30 - 23.08.2019 04:00,26.96,29.8,95
23.08.2019 04:00 - 23.08.2019 04:30,32.27,35.67,301
23.08.2019 04:30 - 23.08.2019 05:00,28.84,31.88,38
23.08.2019 05:00 - 23.08.2019 05:30,28.98,32.03,91
23.08.2019 05:30 - 23.08.2019 06:00,41.02,45.34,262
23.08.2019 06:00 - 23.08.2019 06:30,33.16,36.66,99
23.08.2019 06:30 - 23.08.2019 07:00,36.92,40.8,213
23.08.2019 07:00 - 23.08.2019 07:30,34.85,38.51,220
23.08.2019 07:30 - 23.08.2019 08:00,36.74,40.6,78
23.08.2019 08:00 - 23.08.2019 08:30,37.38,41.32,574
23.08.2019 08:30 - 23.08.2019 09:00,33.06,36.54,18
23.08.2019 09:00 - 23.08.2019 09:30,32.42,35.84,10
23.08.2019 09:30 - 23.08.2019 10:00,32.42,35.84,124
23.08.2019 10:00 - 23.08.2019 10:30,30.35,33.55,317
23.08.2019 10:30 - 23.08.2019 11:00,30.35,33.55,176
23.08.2019 11:00 - 23.08.2019 11:30,29.67,32.79,202
23.08.2019 11:30 - 23.08.2019 12:00,29.67,32.79,17
23.08.2019 12:00 - 23.08.2019 12:30,37.18,41.1,596
23.08.2019 12:30 - 23.08.2019 13:00,46.73,51.65,436
23.08.2019 13:00 - 23.08.2019 13:30,45,49.74,308
23.08.2019 13:30 - 23.08.2019 14:00,41.99,46.41,376
23.08.2019 14:00 - 23.08.2019 14:30,37.34,41.28,150
23.08.2019 14:30 - 23.08.2019 15:00,32.8,36.26,371
23.08.2019 15:00 - 23.08.2019 15:30,30.42,33.62,345
23.08.2019 15:30 - 23.08.2019 16:00,32.05,35.43,491
23.08.2019 16:00 - 23.08.2019 16:30,59.63,65.91,341
23.08.2019 16:30 - 23.08.2019 17:00,55.08,60.88,684
23.08.2019 17:00 - 23.08.2019 17:30,53.14,58.74,894
23.08.2019 17:30 - 23.08.2019 18:00,54.55,60.29,905
23.08.2019 18:00 - 23.08.2019 18:30,43.27,47.83,475
23.08.2019 18:30 - 23.08.2019 19:00,32.91,36.37,9
23.08.2019 19:00 - 23.08.2019 19:30,39.6,43.76,304
23.08.2019 19:30 - 23.08.2019 20:00,32.3,35.7,258
23.08.2019 20:00 - 23.08.2019 20:30,35.12,38.82,459
23.08.2019 20:30 - 23.08.2019 21:00,35.12,38.82,292
23.08.2019 21:00 - 23.08.2019 21:30,30.88,34.14,73
23.08.2019 21:30 - 23.08.2019 22:00,31.59,34.91,449
23.08.2019 22:00 - 23.08.2019 22:30,35.31,39.03,471
23.08.2019 22:30 - 23.08.2019 23:00,26.46,29.24,214
23.08.2019 23:00 - 23.08.2019 23:30,29.13,32.19,296
23.08.2019 23:30 - 24.08.2019 00:00,29.13,32.19,12
24.08.2019 00:00 - 24.08.2019 00:30,29.32,32.4,326
24.08.2019 00:30 - 24.08.2019 01:00,28.65,31.67,436
24.08.2019 01:00 - 24.08.2019 01:30,29.02,32.08,378
24.08.2019 01:30 - 24.08.2019 02:00,28.77,31.79,653
24.08.2019 02:00 - 24.08.2019 02:30,28.47,31.47,493
24.08.2019 02:30 - 24.08.2019 03:00,28.53,31.53,327
24.08.2019 03:00 - 24.08.2019 03:30,28.74,31.76,168
24.08.2019 03:30 - 24.08.2019 04:00,28.74,31.76,206
24.08.2019 04:00 - 24.08.2019 04:30,27.64,30.54,58
24.08.2019 04:30 - 24.08.2019 05:00,25.44,28.12,53
24.08.2019 05:00 - 24.08.2019 05:30,25.1,27.74,26
24.08.2019 05:30 - 24.08.2019 06:00,26.84,29.66,249
24.08.2019 06:00 - 24.08.2019 06:30,24.15,26.69,271
24.08.2019 06:30 - 24.08.2019 07:00,25.48,28.16,111
24.08.2019 07:00 - 24.08.2019 07:30,25.53,28.21,100
24.08.2019 07:30 - 24.08.2019 08:00,24.51,27.09,7
24.08.2019 08:00 - 24.08.2019 08:30,28.03,30.99,93
24.08.2019 08:30 - 24.08.2019 09:00,28.03,30.99,164
24.08.2019 09:00 - 24.08.2019 09:30,26.11,28.85,260
24.08.2019 09:30 - 24.08.2019 10:00,24.62,27.22,418
24.08.2019 10:00 - 24.08.2019 10:30,23.94,26.46,466
24.08.2019 10:30 - 24.08.2019 11:00,23.34,25.8,351
24.08.2019 11:00 - 24.08.2019 11:30,16.63,18.38,441
24.08.2019 11:30 - 24.08.2019 12:00,16.6,18.34,603
24.08.2019 12:00 - 24.08.2019 12:30,18.54,20.5,48
24.08.2019 12:30 - 24.08.2019 13:00,19.99,22.09,142
24.08.2019 13:00 - 24.08.2019 13:30,28.53,31.53,306
24.08.2019 13:30 - 24.08.2019 14:00,37.91,41.9,393
24.08.2019 14:00 - 24.08.2019 14:30,47.22,52.2,105
24.08.2019 14:30 - 24.08.2019 15:00,47.69,52.71,372
24.08.2019 15:00 - 24.08.2019 15:30,29.17,32.25,34
24.08.2019 15:30 - 24.08.2019 16:00,47.01,51.95,248
24.08.2019 16:00 - 24.08.2019 16:30,33.24,36.74,318
24.08.2019 16:30 - 24.08.2019 17:00,43.64,48.24,185
24.08.2019 17:00 - 24.08.2019 17:30,53.68,59.33,20
24.08.2019 17:30 - 24.08.2019 18:00,52.28,57.78,92
24.08.2019 18:00 - 24.08.2019 18:30,35.5,39.24,17
24.08.2019 18:30 - 24.08.2019 19:00,36.81,40.69,494
24.08.2019 19:00 - 24.08.2019 19:30,36.3,40.12,351
24.08.2019 19:30 - 24.08.2019 20:00,34.48,38.1,32
24.08.2019 20:00 - 24.08.2019 20:30,33.2,36.7,144
24.08.2019 20:30 - 24.08.2019 21:00,33.2,36.7,112
24.08.2019 21:00 - 24.08.2019 21:30,34.6,38.24,193
24.08.2019 21:30 - 24.08.2019 22:00,25.58,28.28,383
24.08.2019 22:00 - 24.08.2019 22:30,32.85,36.31,468
24.08.2019 22:30 - 24.08.2019 23:00,27.63,30.53,306
24.08.2019 23:00 - 24.08.2019 23:30,27.22,30.08,32
24.08.2019 23:30 - 25.08.2019 00:00,27.22,30.08,491
25.08.2019 00:00 - 25.08.2019 00:30,25.8,28.52,6
25.08.2019 00:30 - 25.08.2019 01:00,25.8,28.52,271
25.08.2019 01:00 - 25.08.2019 01:30,24.52,27.1,203
25.08.2019 01:30 - 25.08.2019 02:00,24.52,27.1,79
25.08.2019 02:00 - 25.08.2019 02:30,23.9,26.42,351
25.08.2019 02:30 - 25.08.2019 03:00,28.6,31.61,900
25.08.2019 03:00 - 25.08.2019 03:30,35.63,39.38,824
25.08.2019 03:30 - 25.08.2019 04:00,32.88,36.34,944
25.08.2019 04:00 - 25.08.2019 04:30,23.56,26.04,57
25.08.2019 04:30 - 25.08.2019 05:00,23.44,25.9,55
25.08.2019 05:00 - 25.08.2019 05:30,36.38,40.2,113
25.08.2019 05:30 - 25.08.2019 06:00,35.3,39.02,265
25.08.2019 06:00 - 25.08.2019 06:30,23.47,25.94,165
25.08.2019 06:30 - 25.08.2019 07:00,29.52,32.62,97
25.08.2019 07:00 - 25.08.2019 07:30,28.08,31.04,198
25.08.2019 07:30 - 25.08.2019 08:00,26.74,29.56,375
25.08.2019 08:00 - 25.08.2019 08:30,26.6,29.4,227
25.08.2019 08:30 - 25.08.2019 09:00,24.6,27.18,3
25.08.2019 09:00 - 25.08.2019 09:30,24.59,27.17,79
25.08.2019 09:30 - 25.08.2019 10:00,24.59,27.17,327
25.08.2019 10:00 - 25.08.2019 10:30,24.54,27.12,341
25.08.2019 10:30 - 25.08.2019 11:00,24.54,27.12,219
25.08.2019 11:00 - 25.08.2019 11:30,40.42,44.68,269
25.08.2019 11:30 - 25.08.2019 12:00,23.78,26.28,316
25.08.2019 12:00 - 25.08.2019 12:30,23.76,26.26,158
25.08.2019 12:30 - 25.08.2019 13:00,23.76,26.26,65
25.08.2019 13:00 - 25.08.2019 13:30,24.12,26.66,114
25.08.2019 13:30 - 25.08.2019 14:00,24.12,26.66,176
25.08.2019 14:00 - 25.08.2019 14:30,25.08,27.72,75
25.08.2019 14:30 - 25.08.2019 15:00,25.08,27.72,213
25.08.2019 15:00 - 25.08.2019 15:30,26.56,29.36,79
25.08.2019 15:30 - 25.08.2019 16:00,26.56,29.36,164
25.08.2019 16:00 - 25.08.2019 16:30,47.31,52.29,223
25.08.2019 16:30 - 25.08.2019 17:00,42.16,46.6,696
25.08.2019 17:00 - 25.08.2019 17:30,46.19,51.05,897
25.08.2019 17:30 - 25.08.2019 18:00,44.04,48.68,1073
25.08.2019 18:00 - 25.08.2019 18:30,44.07,48.71,663
25.08.2019 18:30 - 25.08.2019 19:00,43.93,48.55,594
25.08.2019 19:00 - 25.08.2019 19:30,43.47,48.05,871
25.08.2019 19:30 - 25.08.2019 20:00,45.15,49.91,566
25.08.2019 20:00 - 25.08.2019 20:30,47.14,52.1,401
25.08.2019 20:30 - 25.08.2019 21:00,45.96,50.8,679
25.08.2019 21:00 - 25.08.2019 21:30,38.01,42.01,628
25.08.2019 21:30 - 25.08.2019 22:00,38.54,42.6,392
25.08.2019 22:00 - 25.08.2019 22:30,38.74,42.82,682
25.08.2019 22:30 - 25.08.2019 23:00,31.99,35.35,196
25.08.2019 23:00 - 25.08.2019 23:30,31.3,34.6,33
25.08.2019 23:30 - 26.08.2019 00:00,27.96,30.9,165
26.08.2019 00:00 - 26.08.2019 00:30,23.56,26.04,39
26.08.2019 00:30 - 26.08.2019 01:00,26.28,29.04,209
26.08.2019 01:00 - 26.08.2019 01:30,22.6,24.98,67
26.08.2019 01:30 - 26.08.2019 02:00,22.08,24.4,283
26.08.2019 02:00 - 26.08.2019 02:30,18.99,20.99,105
26.08.2019 02:30 - 26.08.2019 03:00,17.63,19.49,62
26.08.2019 03:00 - 26.08.2019 03:30,23.11,25.55,23
26.08.2019 03:30 - 26.08.2019 04:00,24.97,27.59,3
26.08.2019 04:00 - 26.08.2019 04:30,26.19,28.95,487
26.08.2019 04:30 - 26.08.2019 05:00,31.11,34.39,92
26.08.2019 05:00 - 26.08.2019 05:30,37.33,41.25,351
26.08.2019 05:30 - 26.08.2019 06:00,38.69,42.77,102
26.08.2019 06:00 - 26.08.2019 06:30,38.54,42.6,139
26.08.2019 06:30 - 26.08.2019 07:00,60.69,67.07,145
26.08.2019 07:00 - 26.08.2019 07:30,49.7,54.94,617
26.08.2019 07:30 - 26.08.2019 08:00,52.77,58.33,797
26.08.2019 08:00 - 26.08.2019 08:30,78.24,86.48,679
26.08.2019 08:30 - 26.08.2019 09:00,85.05,94.01,449
26.08.2019 09:00 - 26.08.2019 09:30,61.56,68.04,54
26.08.2019 09:30 - 26.08.2019 10:00,41.55,45.93,4
26.08.2019 10:00 - 26.08.2019 10:30,49.23,54.41,231
26.08.2019 10:30 - 26.08.2019 11:00,45.62,50.42,487
26.08.2019 11:00 - 26.08.2019 11:30,46.86,51.8,258
26.08.2019 11:30 - 26.08.2019 12:00,47.54,52.54,41
26.08.2019 12:00 - 26.08.2019 12:30,43.32,47.88,568
26.08.2019 12:30 - 26.08.2019 13:00,41.63,46.01,487
26.08.2019 13:00 - 26.08.2019 13:30,44.82,49.54,693
26.08.2019 13:30 - 26.08.2019 14:00,46.47,51.37,809
26.08.2019 14:00 - 26.08.2019 14:30,51.67,57.11,696
26.08.2019 14:30 - 26.08.2019 15:00,49.53,54.75,1002
26.08.2019 15:00 - 26.08.2019 15:30,55.24,61.06,425
26.08.2019 15:30 - 26.08.2019 16:00,53.98,59.66,489
26.08.2019 16:00 - 26.08.2019 16:30,101.48,112.16,517
26.08.2019 16:30 - 26.08.2019 17:00,88.71,98.05,855
26.08.2019 17:00 - 26.08.2019 17:30,84.44,93.32,960
26.08.2019 17:30 - 26.08.2019 18:00,96.8,106.98,443
26.08.2019 18:00 - 26.08.2019 18:30,45.48,50.26,9
26.08.2019 18:30 - 26.08.2019 19:00,44.46,49.14,633
26.08.2019 19:00 - 26.08.2019 19:30,46.61,51.51,17
26.08.2019 19:30 - 26.08.2019 20:00,33.92,37.49,134
26.08.2019 20:00 - 26.08.2019 20:30,41.39,45.75,195
26.08.2019 20:30 - 26.08.2019 21:00,47.02,51.96,168
26.08.2019 21:00 - 26.08.2019 21:30,47.48,52.48,346
26.08.2019 21:30 - 26.08.2019 22:00,37.47,41.41,95
26.08.2019 22:00 - 26.08.2019 22:30,43.71,48.31,546
26.08.2019 22:30 - 26.08.2019 23:00,36.41,40.25,168
26.08.2019 23:00 - 26.08.2019 23:30,42.27,46.71,187
26.08.2019 23:30 - 27.08.2019 00:00,33.5,37.02,97
27.08.2019 00:00 - 27.08.2019 00:30,31.86,35.22,188
27.08.2019 00:30 - 27.08.2019 01:00,31.86,35.22,98
27.08.2019 01:00 - 27.08.2019 01:30,31.06,34.32,229
27.08.2019 01:30 - 27.08.2019 02:00,31.06,34.32,127
27.08.2019 02:00 - 27.08.2019 02:30,31.06,34.32,18
27.08.2019 02:30 - 27.08.2019 03:00,31.06,34.32,23
27.08.2019 03:00 - 27.08.2019 03:30,32.17,35.55,282
27.08.2019 03:30 - 27.08.2019 04:00,30.27,33.45,172
27.08.2019 04:00 - 27.08.2019 04:30,35.65,39.41,931
27.08.2019 04:30 - 27.08.2019 05:00,34.22,37.82,578
27.08.2019 05:00 - 27.08.2019 05:30,36.37,40.19,568
27.08.2019 05:30 - 27.08.2019 06:00,35.01,38.69,177
27.08.2019 06:00 - 27.08.2019 06:30,41.94,46.36,216
27.08.2019 06:30 - 27.08.2019 07:00,40.19,44.42,11
27.08.2019 07:00 - 27.08.2019 07:30,50.85,56.21,65
27.08.2019 07:30 - 27.08.2019 08:00,50.85,56.21,137
27.08.2019 08:00 - 27.08.2019 08:30,64.88,71.7,124
27.08.2019 08:30 - 27.08.2019 09:00,43.23,47.78,40
27.08.2019 09:00 - 27.08.2019 09:30,38.83,42.91,367
27.08.2019 09:30 - 27.08.2019 10:00,35.27,38.99,220
27.08.2019 10:00 - 27.08.2019 10:30,59.19,65.42,40
27.08.2019 10:30 - 27.08.2019 11:00,53.05,58.63,215
27.08.2019 11:00 - 27.08.2019 11:30,48.52,53.62,17
27.08.2019 11:30 - 27.08.2019 12:00,42.99,47.51,155
27.08.2019 12:00 - 27.08.2019 12:30,49.01,54.17,267
27.08.2019 12:30 - 27.08.2019 13:00,46.36,51.24,28
27.08.2019 13:00 - 27.08.2019 13:30,71.34,78.84,49
27.08.2019 13:30 - 27.08.2019 14:00,42.85,47.37,104
27.08.2019 14:00 - 27.08.2019 14:30,42.28,46.74,353
27.08.2019 14:30 - 27.08.2019 15:00,27.73,30.65,99
27.08.2019 15:00 - 27.08.2019 15:30,27.46,30.36,127
27.08.2019 15:30 - 27.08.2019 16:00,34.63,38.27,311
27.08.2019 16:00 - 27.08.2019 16:30,47.89,52.93,762
27.08.2019 16:30 - 27.08.2019 17:00,45.99,50.83,354
27.08.2019 17:00 - 27.08.2019 17:30,42.05,46.47,246
27.08.2019 17:30 - 27.08.2019 18:00,34.89,38.57,246
27.08.2019 18:00 - 27.08.2019 18:30,33.88,37.44,151
27.08.2019 18:30 - 27.08.2019 19:00,39.58,43.74,522
27.08.2019 19:00 - 27.08.2019 19:30,48.91,54.05,348
27.08.2019 19:30 - 27.08.2019 20:00,34.99,38.67,263
27.08.2019 20:00 - 27.08.2019 20:30,43.56,48.14,440
27.08.2019 20:30 - 27.08.2019 21:00,47.11,52.07,160
27.08.2019 21:00 - 27.08.2019 21:30,35.62,39.36,37
27.08.2019 21:30 - 27.08.2019 22:00,35.33,39.05,444
27.08.2019 22:00 - 27.08.2019 22:30,32.76,36.2,36
27.08.2019 22:30 - 27.08.2019 23:00,31.12,34.4,496
27.08.2019 23:00 - 27.08.2019 23:30,21.51,23.77,63
27.08.2019 23:30 - 28.08.2019 00:00,22.97,25.39,203
28.08.2019 00:00 - 28.08.2019 00:30,39.76,43.94,347
28.08.2019 00:30 - 28.08.2019 01:00,33.17,36.67,42
28.08.2019 01:00 - 28.08.2019 01:30,22.7,25.08,105
28.08.2019 01:30 - 28.08.2019 02:00,18.53,20.48,225
28.08.2019 02:00 - 28.08.2019 02:30,21.37,23.61,403
28.08.2019 02:30 - 28.08.2019 03:00,21.75,24.03,403
28.08.2019 03:00 - 28.08.2019 03:30,22.88,25.28,451
28.08.2019 03:30 - 28.08.2019 04:00,22.33,24.68,473
28.08.2019 04:00 - 28.08.2019 04:30,24.99,27.63,600
28.08.2019 04:30 - 28.08.2019 05:00,25.68,28.38,333
28.08.2019 05:00 - 28.08.2019 05:30,34.86,38.52,496
28.08.2019 05:30 - 28.08.2019 06:00,32.76,36.2,99
28.08.2019 06:00 - 28.08.2019 06:30,48.06,53.12,135
28.08.2019 06:30 - 28.08.2019 07:00,48.06,53.12,191
28.08.2019 07:00 - 28.08.2019 07:30,50.34,55.64,83
28.08.2019 07:30 - 28.08.2019 08:00,50.34,55.64,186
28.08.2019 08:00 - 28.08.2019 08:30,51.92,57.38,379
28.08.2019 08:30 - 28.08.2019 09:00,54.78,60.54,208
28.08.2019 09:00 - 28.08.2019 09:30,49.12,54.29,26
28.08.2019 09:30 - 28.08.2019 10:00,57.76,63.84,244
